Message,Category,cleaned_message
Your package with tracking ID 469250 has been shipped.,Transactional,your package with tracking id 469250 has been shipped
Your payment of ₹7224 was successful.,Transactional,your payment of 7224 was successful
Your OTP is 644977. Do not share it with anyone.,Transactional,your otp is 644977 do not share it with anyone
Your package with tracking ID 775714 has been shipped.,Transactional,your package with tracking id 775714 has been shipped
Your OTP is 335908. Do not share it with anyone.,Transactional,your otp is 335908 do not share it with anyone
Your OTP is 109134. Do not share it with anyone.,Transactional,your otp is 109134 do not share it with anyone
Your OTP is 307589. Do not share it with anyone.,Transactional,your otp is 307589 do not share it with anyone
Your transaction ID is TXN409677. Please keep it for your records.,Transactional,your transaction id is txn409677 please keep it for your records
Your payment of ₹9959 was successful.,Transactional,your payment of 9959 was successful
Your OTP is 379470. Do not share it with anyone.,Transactional,your otp is 379470 do not share it with anyone
Your payment of ₹2534 was successful.,Transactional,your payment of 2534 was successful
Your payment of ₹8181 was successful.,Transactional,your payment of 8181 was successful
Your package with tracking ID 975618 has been shipped.,Transactional,your package with tracking id 975618 has been shipped
Your payment of ₹7821 was successful.,Transactional,your payment of 7821 was successful
Your payment of ₹8443 was successful.,Transactional,your payment of 8443 was successful
Your package with tracking ID 858203 has been shipped.,Transactional,your package with tracking id 858203 has been shipped
Your payment of ₹1747 was successful.,Transactional,your payment of 1747 was successful
Your transaction ID is TXN487448. Please keep it for your records.,Transactional,your transaction id is txn487448 please keep it for your records
Your transaction ID is TXN290031. Please keep it for your records.,Transactional,your transaction id is txn290031 please keep it for your records
Your package with tracking ID 294486 has been shipped.,Transactional,your package with tracking id 294486 has been shipped
Your package with tracking ID 649512 has been shipped.,Transactional,your package with tracking id 649512 has been shipped
Your payment of ₹8723 was successful.,Transactional,your payment of 8723 was successful
Your OTP is 593313. Do not share it with anyone.,Transactional,your otp is 593313 do not share it with anyone
Your payment of ₹2864 was successful.,Transactional,your payment of 2864 was successful
Your payment of ₹748 was successful.,Transactional,your payment of 748 was successful
Your package with tracking ID 530095 has been shipped.,Transactional,your package with tracking id 530095 has been shipped
Your OTP is 917676. Do not share it with anyone.,Transactional,your otp is 917676 do not share it with anyone
Your OTP is 204735. Do not share it with anyone.,Transactional,your otp is 204735 do not share it with anyone
Your package with tracking ID 620012 has been shipped.,Transactional,your package with tracking id 620012 has been shipped
Your payment of ₹174 was successful.,Transactional,your payment of 174 was successful
Your payment of ₹8646 was successful.,Transactional,your payment of 8646 was successful
Your payment of ₹7110 was successful.,Transactional,your payment of 7110 was successful
Your payment of ₹5185 was successful.,Transactional,your payment of 5185 was successful
Your OTP is 287825. Do not share it with anyone.,Transactional,your otp is 287825 do not share it with anyone
Your OTP is 152602. Do not share it with anyone.,Transactional,your otp is 152602 do not share it with anyone
Your OTP is 911447. Do not share it with anyone.,Transactional,your otp is 911447 do not share it with anyone
Your package with tracking ID 578465 has been shipped.,Transactional,your package with tracking id 578465 has been shipped
Your transaction ID is TXN234811. Please keep it for your records.,Transactional,your transaction id is txn234811 please keep it for your records
Your package with tracking ID 410493 has been shipped.,Transactional,your package with tracking id 410493 has been shipped
Your package with tracking ID 666651 has been shipped.,Transactional,your package with tracking id 666651 has been shipped
Your OTP is 923662. Do not share it with anyone.,Transactional,your otp is 923662 do not share it with anyone
Your package with tracking ID 362941 has been shipped.,Transactional,your package with tracking id 362941 has been shipped
Your OTP is 773732. Do not share it with anyone.,Transactional,your otp is 773732 do not share it with anyone
Your transaction ID is TXN815269. Please keep it for your records.,Transactional,your transaction id is txn815269 please keep it for your records
Your payment of ₹7280 was successful.,Transactional,your payment of 7280 was successful
Your transaction ID is TXN330048. Please keep it for your records.,Transactional,your transaction id is txn330048 please keep it for your records
Your payment of ₹2881 was successful.,Transactional,your payment of 2881 was successful
Your package with tracking ID 660703 has been shipped.,Transactional,your package with tracking id 660703 has been shipped
Your OTP is 316121. Do not share it with anyone.,Transactional,your otp is 316121 do not share it with anyone
Your package with tracking ID 714773 has been shipped.,Transactional,your package with tracking id 714773 has been shipped
